Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword43	Amity																																																	0
Runeword1	Ancients' Pledge	1			109	shld									RalOrtTal	r08	r09	r07				res-cold		25	25	dmg-to-mana		10	10	ac%		25	25	res-all		5	5													0
Runeword2	Armageddon																																																	0
Runeword3	Authority																																																	0
Runeword4	Beast				110	weap									BerTirFalMalLum	r30	r03	r19	r23	r17		swing2		40	40	aura	Fanaticism	9	9	dmg%		240	270	str		25	40	charged	Summon Grizzly	5	13	oskill	Wearbear	3	3	oskill	Shape Shifting	3	3	0
Runeword5	Beauty																																																	0
Runeword6	Black	1			109	mele									ThulIoNef	r10	r16	r04				crush		25	25	dmg%		120	175	swing2		15	15	red-mag		2	2	att		200	200									0
Runeword7	Blood	1			Mod	weap									IthSol	r06	r12					openwounds		50	50	dmg%		60	110	swing2		10	10	bloody		3	5	att		150	200	vit		5	10					0
Runeword8	Bone	1			111	tors									SolUmUm	r12	r22	r22				gethit-skill	Frost Nova	15	10	gethit-skill	Bone Armor	15	10	nec		2	2	mana		100	150													0
Runeword9	Bramble				110	tors									RalOhmSurEth	r08	r27	r29	r05			balance2		50	50	ac		300	300	aura	Thorns	15	21	heal-kill		13	13	extra-pois		25	50	res-pois		100	100	charged	Spirit of Barbs	33	13	0
Runeword10	Brand				Previously Ladder Only	miss									JahLoIoAmn	r31	r28	r16	r11			dmg%		350	400	dmg-demon		280	330	hit-skill	Bone Spear	100	18	hit-skill	Amplify Damage	35	14	knock		1	1	noheal		1	1	explosivearrow		15	15	0
Runeword11	Breath of the Dying	1			110	weap									VexHelElEldZodEth	r26	r15	r01	r02	r33	r05	swing2		60	60	dmg-undead		125	125	lifesteal		12	15	noheal		1	1	kill-skill	Poison Nova	50	20	dmg%		300	400	all-stats		30	30	0
Runeword12	Broken Promise																																																	0
Runeword180	Bulwark		3		D2R Ladder 3	helm									ShaelIoSol	r13	r16	r12				hp%		5	5	ac%		75	100	red-dmg%		10	15	regen		30	30	lifesteal		4	6									0
Runeword13	Call to Arms				110	weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		swing2		40	40	dmg%		200	240	allskills		1	1	oskill	Battle Command	2	6	oskill	Battle Orders	1	6	oskill	Battle Cry	1	4	regen		12	12	0
Runeword14	Chains of Honor				110	tors									DolUmBerIst	r14	r22	r30	r24			res-all		50	50	ac%		70	70	dmg-demon		200	200	dmg-undead		100	100	lifesteal		8	8	allskills		2	2	str		20	20	0
Runeword15	Chance	1			Mod	helm									LemIst	r20	r24					mag%		50	50	gold%		200	200	cheap		10	15	oskill	Find Item	5	5													0
Runeword16	Chaos				110	weap									FalOhmUm	r19	r27	r22				demon-heal		15	15	dmg%		240	300	dmg-mag		216	471	oskill	Whirlwind	1	1	swing2		35	35	hit-skill	Frozen Orb	9	11	hit-skill	Charged Bolt	11	9	0
Runeword17	Crescent Moon				110	mele									ShaelUmTir	r13	r22	r03				pierce-ltng		35	35	ignore-ac		1	1	dmg%		180	250	abs-mag		9	11	hit-skill	Chain Lightning	10	17	hit-skill	Static Field	7	13					0
Runeword178	Cure		3		D2R Ladder 3	helm									ShaelIoTal	r13	r16	r07				hp%		5	5	ac%		75	100	res-pois		10	30	res-pois-len		50	50	aura	Cleansing	1	1									0
Runeword18	Darkness																																																	0
Runeword19	Daylight																																																	0
Runeword20	Death				Previously Ladder Only	weap									HelElVexOrtGul	r15	r01	r26	r09	r25		dmg%		300	385	deadly/lvl	4			charged	BloodGolem	15	22	att-skill	Glacial Spike	25	18	gethit-skill	Chain Lightning	7	44	crush		50	50	indestruct		1	1	0
Runeword21	Deception																																																	0
Runeword22	Delirium				110	helm									LemIstIo	r20	r24	r16				hit-skill	Confuse	11	18	oskill	Iron Maiden	15	15	res-all		35	35	ac		261	261	gethit-skill	Mind Blast	13	13	allskills		2	2					0
Runeword23	Desire																																																	0
Runeword24	Despair																																																	0
Runeword25	Destruction				Previously Ladder Only	weap									VexIoUmHelKo	r26	r16	r22	r15	r18		dmg%		350	400	dmg-mag		100	180	hit-skill	Molten Boulder	15	40	gethit-skill	Meteor	10	40	att-skill	Nova	15	40	hit-skill	Volcano	23	35	noheal		1	1	0
Runeword26	Doom				110	weap									HelOhmUmTirCham	r15	r27	r22	r03	r32		dmg%		325	375	aura	Holy Freeze	12	12	swing2		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	Frozen Orb	8	22	0
Runeword27	Dragon				Previously Ladder Only	tors	shld	helm							SurLoSol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			hit-skill	Hydra	12	15	gethit-skill	Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Runeword28	Dread	1			Mod	mele									ThulEth	r10	r05					dmg%		60	100	att		100	150	swing1		10	10	res-cold		10	20													0
Runeword29	Dream				Previously Ladder Only	helm	shld	tors							IoJahPul	r16	r31	r21				ac		150	220	gethit-skill	Confuse	10	15	mana/lvl	5			res-all		5	20	balance3		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Runeword30	Duress	1			110	tors									ShaelUmThul	r13	r22	r10				dmg-cold	50	37	133	dmg%		15	25	ac%		150	200	res-all		-10	-20	openwounds		33	33	crush		15	15					0
